Queue,Entity,Transmission #,Instruction  #,Enter Queue,Exit Queue,Queue Time(Min)
     4,      1,      1,      0,     0.00,     0.12,     0.12, 
     5,      1,      2,      0,    13.73,    13.85,     0.12, 
     5,      1,      3,      0,    21.05,    21.17,     0.12, 
     5,      1,      4,      0,    33.59,    33.71,     0.12, 
     4,      1,      5,      0,    60.00,    60.12,     0.12, 
     5,      1,      6,      0,    79.19,    79.31,     0.12, 
     5,      1,      7,      0,    92.81,    92.93,     0.12, 
     6,      1,      8,      0,   120.00,   120.12,     0.12, 
     6,      1,      8,      0,   121.68,   121.80,     0.12, 
     4,      1,      9,      0,   125.16,   125.28,     0.12, 
     3,      1,     10,      0,   150.46,   150.58,     0.12, 
     5,      1,     11,      0,   153.19,   153.31,     0.12, 
     4,      1,     12,      0,   180.00,   180.12,     0.12, 
     5,      1,     13,      0,   188.73,   188.85,     0.12, 
     4,      1,     14,      0,   208.32,   208.44,     0.12, 
     4,      1,     15,      0,   240.00,   240.12,     0.12, 
     3,      1,     16,      0,   261.10,   261.22,     0.12, 
     6,      1,     17,      0,   266.49,   266.61,     0.12, 
     6,      1,     18,      0,   300.00,   300.12,     0.12, 
     6,      1,     19,      0,   309.69,   309.81,     0.12, 
     5,      1,     20,      0,   310.82,   310.94,     0.12, 
     4,      1,     21,      0,   319.77,   319.89,     0.12, 
     4,      1,     22,      0,   328.72,   328.84,     0.12, 
     4,      1,     23,      0,   360.00,   360.12,     0.12, 
     4,      1,     24,      0,   361.37,   361.49,     0.12, 
     5,      1,     25,      0,   363.24,   363.36,     0.12, 
     5,      1,     26,      0,   366.02,   366.14,     0.12, 
     4,      1,     27,      0,   369.08,   369.20,     0.12, 
     5,      1,     28,      0,   379.97,   380.09,     0.12, 
     6,      1,     29,      0,   396.59,   396.71,     0.12, 

