ENTITY ,LOCATION,CLOCK(HR),a_SKU,, 
4,99,    0.00,   1127, , 
4,99,    0.00,    367, , 
4,99,    0.00,    367, , 
4,99,    0.00,    367, , 
4,99,    0.00,   1137, , 
4,99,    0.00,   1202, , 
4,99,    0.00,    471, , 
4,99,    0.00,    471, , 
4,99,    0.00,    471, , 
4,99,    0.00,    471, , 
4,99,    0.00,    471, , 
4,99,    0.00,    471, , 
4,99,    0.00,    471, , 
4,99,    0.00,   1141, , 
4,99,    0.00,   1141, , 
4,99,    0.00,   1141, , 
4,99,    0.00,     85, , 
4,99,    0.00,     85, , 
4,99,    0.00,     85, , 
4,99,    0.00,   1126, , 
4,99,    0.00,     86, , 
4,99,    0.00,   1126, , 
4,99,    0.00,     87, , 
4,99,    0.00,   1126, , 
4,99,    0.00,     88, , 
4,99,    0.00,   1126, , 
4,99,    0.00,    139, , 
4,99,    0.00,   1126, , 
4,99,    0.00,    139, , 
4,99,    0.00,    140, , 
4,99,    0.00,   1126, , 
4,99,    0.00,    140, , 
4,99,    0.00,   1080, , 
4,99,    0.00,    141, , 
4,99,    0.00,   1126, , 
4,99,    0.00,    141, , 
4,99,    0.00,    166, , 
4,99,    0.00,   1081, , 
4,99,    0.00,    971, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,   1082, , 
4,99,    0.00,   1082, , 
4,99,    0.00,   1082, , 
4,99,    0.00,   1082, , 
4,99,    0.00,    971, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    971, , 
4,99,    0.00,   1083, , 
4,99,    0.00,   1083, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,    166, , 
4,99,    0.00,   1083, , 
4,99,    0.00,   1083, , 
4,99,    0.00,   1083, , 
4,99,    0.00,   1083, , 
4,99,    0.00,    971, , 
4,99,    0.00,    123, , 
4,99,    0.00,   1076, , 
4,99,    0.00,    975, , 
4,99,    0.00,    123, , 
